bond_id,payment_date,amount
912810SK5,2025-05-15,11875.0
912810SK5,2025-11-15,11875.0
912810SK5,2026-05-15,11875.0
912810SK5,2026-11-15,11875.0
912810SK5,2027-05-15,11875.0
912810SK5,2027-11-15,11875.0
912810SK5,2028-05-15,11875.0
912810SK5,2028-11-15,11875.0
912810SK5,2029-05-15,11875.0
912810SK5,2029-11-15,11875.0
912810SK5,2030-05-15,11875.0
912810SK5,2030-11-15,11875.0
912810SK5,2031-05-15,11875.0
912810SK5,2031-11-15,11875.0
912810SK5,2032-05-15,11875.0
912810SK5,2032-11-15,11875.0
912810SK5,2033-05-15,11875.0
912810SK5,2033-11-15,11875.0
912810SK5,2034-05-15,11875.0
912810SK5,2034-11-15,11875.0
912810SK5,2035-05-15,11875.0
912810SK5,2035-11-15,11875.0
912810SK5,2036-05-15,11875.0
912810SK5,2036-11-15,11875.0
912810SK5,2037-05-15,11875.0
912810SK5,2037-11-15,11875.0
912810SK5,2038-05-15,11875.0
912810SK5,2038-11-15,11875.0
912810SK5,2039-05-15,11875.0
912810SK5,2039-11-15,11875.0
912810SK5,2040-05-15,11875.0
912810SK5,2040-11-15,11875.0
912810SK5,2041-05-15,11875.0
912810SK5,2041-11-15,11875.0
912810SK5,2042-05-15,11875.0
912810SK5,2042-11-15,11875.0
912810SK5,2043-05-15,11875.0
912810SK5,2043-11-15,11875.0
912810SK5,2044-05-15,11875.0
912810SK5,2044-11-15,11875.0
912810SK5,2045-05-15,11875.0
912810SK5,2045-11-15,11875.0
912810SK5,2046-05-15,11875.0
912810SK5,2046-11-15,11875.0
912810SK5,2047-05-15,11875.0
912810SK5,2047-11-15,11875.0
912810SK5,2048-05-15,11875.0
912810SK5,2048-11-15,11875.0
912810SK5,2049-05-15,11875.0
912810SK5,2049-11-15,1011875.0
