bond_id,payment_date,amount
912810SJ8,2025-08-15,11250.0
912810SJ8,2026-02-15,11250.0
912810SJ8,2026-08-15,11250.0
912810SJ8,2027-02-15,11250.0
912810SJ8,2027-08-15,11250.0
912810SJ8,2028-02-15,11250.0
912810SJ8,2028-08-15,11250.0
912810SJ8,2029-02-15,11250.0
912810SJ8,2029-08-15,11250.0
912810SJ8,2030-02-15,11250.0
912810SJ8,2030-08-15,11250.0
912810SJ8,2031-02-15,11250.0
912810SJ8,2031-08-15,11250.0
912810SJ8,2032-02-15,11250.0
912810SJ8,2032-08-15,11250.0
912810SJ8,2033-02-15,11250.0
912810SJ8,2033-08-15,11250.0
912810SJ8,2034-02-15,11250.0
912810SJ8,2034-08-15,11250.0
912810SJ8,2035-02-15,11250.0
912810SJ8,2035-08-15,11250.0
912810SJ8,2036-02-15,11250.0
912810SJ8,2036-08-15,11250.0
912810SJ8,2037-02-15,11250.0
912810SJ8,2037-08-15,11250.0
912810SJ8,2038-02-15,11250.0
912810SJ8,2038-08-15,11250.0
912810SJ8,2039-02-15,11250.0
912810SJ8,2039-08-15,11250.0
912810SJ8,2040-02-15,11250.0
912810SJ8,2040-08-15,11250.0
912810SJ8,2041-02-15,11250.0
912810SJ8,2041-08-15,11250.0
912810SJ8,2042-02-15,11250.0
912810SJ8,2042-08-15,11250.0
912810SJ8,2043-02-15,11250.0
912810SJ8,2043-08-15,11250.0
912810SJ8,2044-02-15,11250.0
912810SJ8,2044-08-15,11250.0
912810SJ8,2045-02-15,11250.0
912810SJ8,2045-08-15,11250.0
912810SJ8,2046-02-15,11250.0
912810SJ8,2046-08-15,11250.0
912810SJ8,2047-02-15,11250.0
912810SJ8,2047-08-15,11250.0
912810SJ8,2048-02-15,11250.0
912810SJ8,2048-08-15,11250.0
912810SJ8,2049-02-15,11250.0
912810SJ8,2049-08-15,1011250.0
