bond_id,payment_date,amount
912810SL3,2025-08-18,10000.0
912810SL3,2026-02-18,10000.0
912810SL3,2026-08-18,10000.0
912810SL3,2027-02-18,10000.0
912810SL3,2027-08-18,10000.0
912810SL3,2028-02-18,10000.0
912810SL3,2028-08-18,10000.0
912810SL3,2029-02-18,10000.0
912810SL3,2029-08-18,10000.0
912810SL3,2030-02-18,10000.0
912810SL3,2030-08-18,10000.0
912810SL3,2031-02-18,10000.0
912810SL3,2031-08-18,10000.0
912810SL3,2032-02-18,10000.0
912810SL3,2032-08-18,10000.0
912810SL3,2033-02-18,10000.0
912810SL3,2033-08-18,10000.0
912810SL3,2034-02-18,10000.0
912810SL3,2034-08-18,10000.0
912810SL3,2035-02-18,10000.0
912810SL3,2035-08-18,10000.0
912810SL3,2036-02-18,10000.0
912810SL3,2036-08-18,10000.0
912810SL3,2037-02-18,10000.0
912810SL3,2037-08-18,10000.0
912810SL3,2038-02-18,10000.0
912810SL3,2038-08-18,10000.0
912810SL3,2039-02-18,10000.0
912810SL3,2039-08-18,10000.0
912810SL3,2040-02-18,10000.0
912810SL3,2040-08-18,10000.0
912810SL3,2041-02-18,10000.0
912810SL3,2041-08-18,10000.0
912810SL3,2042-02-18,10000.0
912810SL3,2042-08-18,10000.0
912810SL3,2043-02-18,10000.0
912810SL3,2043-08-18,10000.0
912810SL3,2044-02-18,10000.0
912810SL3,2044-08-18,10000.0
912810SL3,2045-02-18,10000.0
912810SL3,2045-08-18,10000.0
912810SL3,2046-02-18,10000.0
912810SL3,2046-08-18,10000.0
912810SL3,2047-02-18,10000.0
912810SL3,2047-08-18,10000.0
912810SL3,2048-02-18,10000.0
912810SL3,2048-08-18,10000.0
912810SL3,2049-02-18,10000.0
912810SL3,2049-08-18,10000.0
912810SL3,2050-02-15,1000000.0
